                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    102,                0.82118,                0.54638,                 1.0258,                0.95843,                0.91032,                0.92341,                0.75044,                0.80253,                0.52933,                 1.0838,                0.00802,                0.00802,                0.00802
                    103,                0.82136,                0.55209,                 1.0227,                0.96847,                0.89826,                0.93194,                0.76277,                0.78391,                0.51423,                  1.072,              0.0080002,              0.0080002,              0.0080002
                    104,                0.80568,                0.53556,                 1.0179,                0.95795,                0.89655,                0.93018,                0.75231,                 0.8114,                0.54976,                 1.0887,              0.0079804,              0.0079804,              0.0079804
                    105,                0.80522,                0.54336,                 1.0151,                0.94811,                0.91065,                0.93156,                 0.7454,                0.80599,                0.52042,                 1.0666,              0.0079606,              0.0079606,              0.0079606
                    106,                0.79457,                0.52771,                 1.0127,                0.93199,                0.91051,                0.93141,                0.75532,                0.80918,                0.54268,                 1.0569,              0.0079408,              0.0079408,              0.0079408
                    107,                0.83298,                0.54974,                 1.0358,                0.93873,                0.90624,                0.92799,                 0.7542,                0.78978,                0.53516,                 1.0727,               0.007921,               0.007921,               0.007921
                    108,                0.82127,                0.56635,                 1.0211,                0.94985,                0.90542,                0.92971,                0.75628,                0.78421,                0.51326,                 1.0474,              0.0079012,              0.0079012,              0.0079012
                    109,                0.79291,                0.52949,                  1.001,                0.94855,                0.91116,                 0.9228,                0.75552,                0.79922,                0.52215,                 1.0657,              0.0078814,              0.0078814,              0.0078814
                    110,                0.82048,                0.55505,                 1.0257,                0.96952,                0.88603,                0.92481,                0.74809,                0.81462,                0.53576,                 1.0695,              0.0078616,              0.0078616,              0.0078616
                    111,                0.80099,                0.52539,                 1.0199,                 0.9629,                0.88146,                 0.9292,                0.75363,                0.81552,                0.51645,                 1.0765,              0.0078418,              0.0078418,              0.0078418
                    112,                0.78655,                0.51285,                 1.0116,                0.95959,                0.89604,                0.93064,                0.74846,                 0.8186,                0.53722,                 1.0969,               0.007822,               0.007822,               0.007822
                    113,                0.79966,                 0.5405,                 1.0299,                 0.9455,                0.90847,                0.92585,                0.74695,                0.82032,                0.54501,                 1.0839,              0.0078022,              0.0078022,              0.0078022
                    114,                 0.7914,                0.51726,                 1.0091,                0.97395,                0.88972,                 0.9265,                0.75386,                0.80649,                0.55148,                 1.0877,              0.0077824,              0.0077824,              0.0077824
                    115,                0.81003,                0.54034,                 1.0115,                0.96148,                0.88092,                0.92954,                0.76102,                0.80199,                0.54149,                 1.0606,              0.0077626,              0.0077626,              0.0077626
                    116,                0.80225,                0.52887,                 1.0171,                0.96254,                 0.8962,                0.91288,                0.74224,                0.80398,                0.52463,                 1.0692,              0.0077428,              0.0077428,              0.0077428
                    117,                 0.8016,                0.53754,                 1.0213,                0.94089,                0.90014,                0.91855,                0.74869,                0.80121,                0.53592,                 1.0775,               0.007723,               0.007723,               0.007723
                    118,                0.79888,                 0.5157,                 1.0125,                0.95191,                0.90607,                0.92378,                0.74096,                0.81418,                0.54834,                 1.0784,              0.0077032,              0.0077032,              0.0077032
                    119,                0.80419,                0.53761,                 1.0258,                0.95427,                0.91605,                0.92236,                0.74099,                0.81004,                0.54169,                 1.0943,              0.0076834,              0.0076834,              0.0076834
                    120,                0.78329,                0.50398,                 1.0187,                0.96065,                 0.8962,                0.92211,                0.74986,                0.81474,                 0.5418,                  1.097,              0.0076636,              0.0076636,              0.0076636
                    121,                0.81127,                0.52436,                 1.0321,                0.95789,                0.90847,                0.92687,                0.75205,                0.78731,                 0.5095,                 1.0892,              0.0076438,              0.0076438,              0.0076438
                    122,                0.78714,                0.51757,                 1.0166,                0.96551,                0.89691,                0.92897,                0.76101,                0.78729,                0.52111,                 1.0796,               0.007624,               0.007624,               0.007624
                    123,                0.78229,                0.52391,                 1.0084,                 0.9423,                0.90281,                0.92379,                0.74976,                 0.8021,                0.51587,                 1.0965,              0.0076042,              0.0076042,              0.0076042
                    124,                0.79092,                0.52087,                 1.0128,                0.96054,                0.88975,                 0.9166,                0.74908,                0.81572,                 0.5228,                 1.1062,              0.0075844,              0.0075844,              0.0075844
                    125,                0.77478,                0.51813,                 1.0172,                0.97865,                0.88634,                0.92868,                0.75486,                0.81972,                0.51562,                 1.1063,              0.0075646,              0.0075646,              0.0075646
                    126,                0.79945,                0.53786,                 1.0314,                0.95469,                0.90464,                0.93143,                0.75893,                0.81762,                0.53497,                 1.1143,              0.0075448,              0.0075448,              0.0075448
                    127,                 0.7883,                0.51498,                 1.0162,                0.94681,                0.89151,                 0.9276,                0.75086,                0.80938,                0.52455,                 1.0887,               0.007525,               0.007525,               0.007525
                    128,                0.78313,                0.50196,                 1.0094,                0.97181,                0.90643,                0.92579,                0.75346,                0.80273,                0.51687,                 1.0895,              0.0075052,              0.0075052,              0.0075052
